Women autonomy,Employment,Household wealth,Education,Region of residence,Household structure,Religion,Age,Place of residence,Marital status,Number of children living,Survey_Weight,PSU_Cluster,Survey_Strata
Yes,yes,poorest,no education,mai-ndombe,Polygamous,jehovah witness,45-49,rural,married,5+,0.203638,1,4
No,no,poorer,primary,mai-ndombe,Monogamous,no religion,20-24,rural,married,1-2,0.203638,1,4
Yes,yes,poorest,primary,mai-ndombe,Polygamous,protestant,35-39,rural,living with partner,5+,0.203638,1,4
No,yes,poorest,no education,mai-ndombe,Monogamous,non denominational/charismatic/apostolic,45-49,rural,married,3-4,0.203638,1,4
Yes,yes,poorest,no education,mai-ndombe,Polygamous,catholic,40-44,rural,married,5+,0.203638,1,4
Yes,no,poorest,secondary,mai-ndombe,Polygamous,kimbanguiste,20-24,rural,living with partner,1-2,0.203638,1,4
No,no,poorer,secondary,mai-ndombe,Monogamous,protestant,25-29,rural,married,1-2,0.203638,1,4
Yes,no,poorest,secondary,mai-ndombe,Monogamous,kimbanguiste,25-29,rural,married,3-4,0.203638,1,4
Yes,no,poorest,no education,mai-ndombe,Monogamous,non denominational/charismatic/apostolic,35-39,rural,married,1-2,0.203638,1,4
No,no,poorest,primary,mai-ndombe,Monogamous,protestant,30-34,rural,living with partner,5+,0.203638,1,4
No,no,poorest,primary,mai-ndombe,Monogamous,non denominational/charismatic/apostolic,20-24,rural,married,1-2,0.203638,1,4
No,no,poorest,secondary,mai-ndombe,Monogamous,non denominational/charismatic/apostolic,20-24,rural,married,1-2,0.203638,1,4
No,yes,poorest,no education,mai-ndombe,Monogamous,catholic,20-24,rural,living with partner,1-2,0.203638,1,4
No,yes,poorest,primary,mai-ndombe,Monogamous,no religion,25-29,rural,living with partner,1-2,0.203638,1,4
No,yes,poorest,no education,mai-ndombe,Monogamous,non denominational/charismatic/apostolic,20-24,rural,living with partner,1-2,0.203638,1,4
No,yes,poorest,primary,mai-ndombe,Monogamous,protestant,25-29,rural,married,3-4,0.203638,1,4
No,yes,poorest,primary,mai-ndombe,Monogamous,catholic,20-24,rural,married,1-2,0.203638,1,4
No,no,poorest,primary,mai-ndombe,Polygamous,non denominational/charismatic/apostolic,35-39,rural,living with partner,3-4,0.203638,1,4
Yes,no,poorest,primary,mai-ndombe,Monogamous,catholic,20-24,rural,married,1-2,0.203638,1,4
Yes,yes,poorest,primary,mai-ndombe,Monogamous,protestant,20-24,rural,living with partner,1-2,0.203638,1,4
No,no,poorest,primary,mai-ndombe,Monogamous,non denominational/charismatic/apostolic,20-24,rural,married,1-2,0.203638,1,4
Yes,yes,poorest,primary,mai-ndombe,Monogamous,protestant,35-39,rural,living with partner,1-2,0.203638,1,4
No,yes,poorest,primary,mai-ndombe,Monogamous,catholic,35-39,rural,married,3-4,0.203638,1,4
Yes,yes,poorest,primary,mai-ndombe,Monogamous,non denominational/charismatic/apostolic,15-19,rural,living with partner,1-2,0.203638,1,4
Yes,yes,poorest,no education,mai-ndombe,Monogamous,protestant,35-39,rural,married,3-4,0.203638,1,4
Yes,yes,poorest,secondary,mai-ndombe,Monogamous,kimbanguiste,25-29,rural,married,3-4,0.203638,1,4
No,no,richer,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,25-29,urban,living with partner,5+,2.968621,2,50
Yes,no,richest,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,35-39,urban,married,5+,2.968621,2,50
Yes,yes,richest,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,30-34,urban,married,5+,2.968621,2,50
No,yes,richest,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,25-29,urban,married,1-2,2.968621,2,50
No,yes,richer,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,30-34,urban,married,5+,2.968621,2,50
No,no,richer,no education,kasaï,Monogamous,protestant,15-19,urban,married,0,2.968621,2,50
No,no,richest,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,35-39,urban,married,1-2,2.968621,2,50
Yes,no,richer,secondary,kasaï,Monogamous,protestant,40-44,urban,married,5+,2.968621,2,50
No,yes,richest,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,30-34,urban,married,5+,2.968621,2,50
No,yes,richest,secondary,kasaï,Monogamous,protestant,45-49,urban,living with partner,5+,2.968621,2,50
No,no,richest,higher,kasaï,Monogamous,non denominational/charismatic/apostolic,35-39,urban,married,3-4,2.968621,2,50
Yes,yes,richest,higher,kasaï,Monogamous,non denominational/charismatic/apostolic,25-29,urban,married,1-2,2.968621,2,50
No,no,richer,primary,kasaï,Monogamous,non denominational/charismatic/apostolic,25-29,urban,married,3-4,2.968621,2,50
No,yes,richest,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,25-29,urban,married,5+,2.968621,2,50
Yes,yes,richer,primary,kasaï,Polygamous,non denominational/charismatic/apostolic,40-44,urban,married,5+,2.968621,2,50
Yes,yes,richest,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,30-34,urban,married,5+,2.968621,2,50
No,no,richest,higher,kasaï,Monogamous,non denominational/charismatic/apostolic,20-24,urban,married,1-2,2.968621,2,50
No,no,richest,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,25-29,urban,married,3-4,2.968621,2,50
No,yes,richest,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,30-34,urban,married,1-2,2.968621,2,50
No,no,richer,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,25-29,urban,married,1-2,2.968621,2,50
Yes,yes,richest,higher,kasaï,Polygamous,non denominational/charismatic/apostolic,40-44,urban,married,5+,2.968621,2,50
Yes,yes,richer,secondary,kasaï,Monogamous,jehovah witness,30-34,urban,married,3-4,2.968621,2,50
No,yes,richest,higher,kasaï,Monogamous,non denominational/charismatic/apostolic,30-34,urban,married,0,2.968621,2,50
No,yes,richer,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,20-24,urban,living with partner,1-2,2.968621,2,50
No,yes,richer,higher,kasaï,Monogamous,non denominational/charismatic/apostolic,45-49,urban,married,1-2,2.968621,2,50
No,no,richest,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,35-39,urban,married,5+,2.968621,2,50
Yes,yes,richer,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,25-29,urban,married,3-4,2.968621,2,50
No,yes,richest,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,15-19,urban,married,1-2,2.968621,2,50
No,no,richest,secondary,kasaï,Monogamous,protestant,20-24,urban,married,1-2,2.968621,2,50
No,yes,richer,primary,kwilu,Monogamous,non denominational/charismatic/apostolic,35-39,urban,living with partner,5+,1.82927,3,29
Yes,no,richer,secondary,kwilu,Monogamous,protestant,20-24,urban,married,0,1.82927,3,29
Yes,yes,richer,higher,kwilu,Monogamous,catholic,40-44,urban,married,0,1.82927,3,29
No,yes,richest,higher,kwilu,Monogamous,non denominational/charismatic/apostolic,35-39,urban,married,0,1.82927,3,29
Yes,no,richer,no education,kwilu,Polygamous,catholic,35-39,urban,married,0,1.82927,3,29
Yes,yes,richer,no education,kwilu,Monogamous,catholic,40-44,urban,living with partner,0,1.82927,3,29
Yes,yes,richer,secondary,kwilu,Monogamous,catholic,35-39,urban,living with partner,3-4,1.82927,3,29
No,no,richest,secondary,kwilu,Monogamous,non denominational/charismatic/apostolic,45-49,urban,married,3-4,1.82927,3,29
Yes,yes,poorer,no education,kwilu,Monogamous,protestant,40-44,urban,living with partner,5+,1.82927,3,29
Yes,yes,richer,secondary,kwilu,Monogamous,non denominational/charismatic/apostolic,25-29,urban,living with partner,3-4,1.82927,3,29
Yes,yes,middle,secondary,kwilu,Monogamous,non denominational/charismatic/apostolic,20-24,urban,living with partner,1-2,1.82927,3,29
Yes,no,richer,secondary,kwilu,Monogamous,catholic,25-29,urban,living with partner,1-2,1.82927,3,29
Yes,yes,poorer,secondary,kwilu,Monogamous,catholic,45-49,urban,living with partner,5+,1.82927,3,29
Yes,no,richer,secondary,kwilu,Monogamous,catholic,45-49,urban,living with partner,5+,1.82927,3,29
Yes,yes,richer,higher,kwilu,Monogamous,non denominational/charismatic/apostolic,45-49,urban,married,5+,1.82927,3,29
Yes,yes,richer,secondary,kwilu,Polygamous,catholic,45-49,urban,living with partner,5+,1.82927,3,29
No,no,richer,secondary,kwilu,Monogamous,catholic,25-29,urban,living with partner,1-2,1.82927,3,29
Yes,yes,middle,no education,kwilu,Monogamous,protestant,40-44,urban,living with partner,1-2,1.82927,3,29
Yes,yes,middle,secondary,kwilu,Monogamous,non denominational/charismatic/apostolic,40-44,urban,living with partner,5+,1.82927,3,29
Yes,yes,richer,secondary,kwilu,Monogamous,non denominational/charismatic/apostolic,35-39,urban,living with partner,1-2,1.82927,3,29
Yes,no,richer,primary,kongo central,Monogamous,catholic,45-49,rural,married,3-4,0.440163,4,1
Yes,yes,poorer,primary,kongo central,Polygamous,kimbanguiste,20-24,rural,living with partner,1-2,0.440163,4,1
Yes,no,richer,secondary,kongo central,Monogamous,catholic,35-39,rural,living with partner,3-4,0.440163,4,1
Yes,yes,poorer,secondary,kongo central,Polygamous,kimbanguiste,40-44,rural,living with partner,3-4,0.440163,4,1
Yes,yes,richer,primary,kongo central,Polygamous,catholic,40-44,rural,married,5+,0.440163,4,1
Yes,no,richer,secondary,kongo central,Monogamous,catholic,15-19,rural,married,1-2,0.440163,4,1
Yes,no,middle,secondary,kongo central,Monogamous,catholic,25-29,rural,living with partner,1-2,0.440163,4,1
Yes,yes,poorer,secondary,kongo central,Monogamous,protestant,30-34,rural,married,1-2,0.440163,4,1
Yes,yes,middle,secondary,kongo central,Monogamous,protestant,30-34,rural,living with partner,3-4,0.440163,4,1
No,no,middle,secondary,kongo central,Monogamous,kimbanguiste,40-44,rural,living with partner,3-4,0.440163,4,1
Yes,yes,richer,primary,kongo central,Polygamous,non denominational/charismatic/apostolic,25-29,rural,living with partner,3-4,0.440163,4,1
No,no,poorer,secondary,kongo central,Monogamous,catholic,25-29,rural,living with partner,3-4,0.440163,4,1
Yes,yes,poorer,no education,kongo central,Polygamous,non denominational/charismatic/apostolic,35-39,rural,living with partner,3-4,0.440163,4,1
Yes,yes,richer,primary,kongo central,Don't know,protestant,35-39,rural,married,5+,0.440163,4,1
No,yes,richer,secondary,kongo central,Polygamous,catholic,30-34,rural,living with partner,3-4,0.440163,4,1
Yes,yes,poorest,secondary,kongo central,Monogamous,non denominational/charismatic/apostolic,25-29,rural,living with partner,3-4,0.440163,4,1
No,yes,poorest,primary,sud-kivu,Monogamous,protestant,20-24,rural,living with partner,3-4,0.419763,5,15
No,yes,poorer,primary,sud-kivu,Monogamous,protestant,25-29,rural,living with partner,5+,0.419763,5,15
Yes,yes,middle,no education,sud-kivu,Monogamous,protestant,25-29,rural,living with partner,1-2,0.419763,5,15
Yes,yes,poorest,no education,sud-kivu,Polygamous,protestant,25-29,rural,living with partner,5+,0.419763,5,15
No,yes,richer,primary,sud-kivu,Monogamous,protestant,45-49,rural,married,5+,0.419763,5,15
Yes,yes,middle,primary,sud-kivu,Monogamous,protestant,20-24,rural,married,1-2,0.419763,5,15
No,yes,middle,no education,sud-kivu,Monogamous,protestant,45-49,rural,married,5+,0.419763,5,15
Yes,yes,middle,primary,sud-kivu,Monogamous,protestant,25-29,rural,living with partner,3-4,0.419763,5,15
No,yes,middle,primary,sud-kivu,Monogamous,protestant,30-34,rural,married,3-4,0.419763,5,15
Yes,yes,poorer,primary,sud-kivu,Monogamous,protestant,35-39,rural,married,3-4,0.419763,5,15
Yes,yes,richer,no education,sud-kivu,Monogamous,protestant,15-19,rural,living with partner,1-2,0.419763,5,15
No,yes,middle,no education,sud-kivu,Monogamous,protestant,25-29,rural,married,3-4,0.419763,5,15
Yes,no,poorer,no education,sud-kivu,Polygamous,protestant,35-39,rural,living with partner,5+,0.419763,5,15
Yes,yes,middle,no education,sud-kivu,Monogamous,protestant,45-49,rural,living with partner,5+,0.419763,5,15
Yes,yes,richer,no education,sud-kivu,Monogamous,protestant,35-39,rural,living with partner,5+,0.419763,5,15
No,yes,middle,secondary,sud-kivu,Monogamous,protestant,20-24,rural,married,3-4,0.419763,5,15
Yes,yes,middle,no education,sud-kivu,Monogamous,protestant,30-34,rural,married,5+,0.419763,5,15
Yes,yes,poorest,primary,sud-kivu,Polygamous,catholic,20-24,rural,living with partner,5+,0.419763,5,15
Yes,yes,middle,no education,lualaba,Monogamous,protestant,35-39,rural,married,5+,1.678364,6,19
Yes,yes,middle,primary,lualaba,Monogamous,non denominational/charismatic/apostolic,20-24,rural,married,1-2,1.678364,6,19
No,yes,middle,primary,lualaba,Polygamous,animist/traditional religion,45-49,rural,living with partner,5+,1.678364,6,19
Yes,yes,middle,primary,lualaba,Monogamous,protestant,45-49,rural,living with partner,5+,1.678364,6,19
Yes,yes,middle,primary,lualaba,Monogamous,catholic,30-34,rural,married,3-4,1.678364,6,19
Yes,yes,middle,secondary,lualaba,Monogamous,protestant,25-29,rural,married,3-4,1.678364,6,19
Yes,yes,middle,secondary,lualaba,Monogamous,protestant,20-24,rural,living with partner,1-2,1.678364,6,19
Yes,yes,middle,secondary,lualaba,Monogamous,protestant,20-24,rural,living with partner,1-2,1.678364,6,19
Yes,yes,richer,no education,lualaba,Monogamous,protestant,45-49,rural,married,1-2,1.678364,6,19
Yes,yes,middle,primary,lualaba,Monogamous,catholic,30-34,rural,married,3-4,1.678364,6,19
Yes,no,middle,primary,lualaba,Monogamous,catholic,20-24,rural,married,1-2,1.678364,6,19
No,yes,middle,primary,lualaba,Monogamous,catholic,20-24,rural,married,0,1.678364,6,19
No,yes,poorer,secondary,lualaba,Monogamous,protestant,20-24,rural,married,1-2,1.678364,6,19
No,yes,poorer,no education,lualaba,Polygamous,protestant,40-44,rural,living with partner,5+,1.678364,6,19
No,yes,poorer,primary,lualaba,Polygamous,catholic,30-34,rural,married,1-2,1.678364,6,19
Yes,yes,poorer,no education,lualaba,Polygamous,animist/traditional religion,40-44,rural,married,0,1.678364,6,19
No,yes,middle,primary,lualaba,Monogamous,protestant,45-49,rural,married,5+,1.678364,6,19
Yes,yes,poorer,primary,lualaba,Monogamous,protestant,20-24,rural,married,1-2,1.678364,6,19
Yes,yes,middle,primary,lualaba,Polygamous,non denominational/charismatic/apostolic,20-24,rural,married,0,1.678364,6,19
No,yes,middle,no education,lualaba,Monogamous,protestant,35-39,rural,married,5+,1.678364,6,19
No,yes,poorest,no education,tanganyika,Monogamous,kimbanguiste,20-24,urban,married,3-4,0.148929,7,46
No,no,poorer,no education,tanganyika,Polygamous,protestant,40-44,urban,living with partner,3-4,0.148929,7,46
No,yes,poorer,no education,tanganyika,Polygamous,protestant,45-49,urban,living with partner,3-4,0.148929,7,46
No,no,poorest,no education,tanganyika,Monogamous,protestant,40-44,urban,living with partner,5+,0.148929,7,46
No,yes,poorest,no education,tanganyika,Monogamous,protestant,35-39,urban,married,5+,0.148929,7,46
No,no,poorest,no education,tanganyika,Monogamous,jehovah witness,35-39,urban,living with partner,3-4,0.148929,7,46
No,yes,richer,no education,tanganyika,Monogamous,catholic,40-44,urban,married,5+,0.148929,7,46
No,yes,poorest,primary,tanganyika,Monogamous,protestant,25-29,urban,living with partner,3-4,0.148929,7,46
No,yes,poorer,no education,tanganyika,Polygamous,protestant,30-34,urban,married,1-2,0.148929,7,46
No,yes,poorer,secondary,tanganyika,Polygamous,protestant,25-29,urban,married,1-2,0.148929,7,46
No,no,poorer,no education,tanganyika,Monogamous,protestant,15-19,urban,married,0,0.148929,7,46
No,no,poorer,no education,tanganyika,Monogamous,kimbanguiste,40-44,urban,living with partner,5+,0.148929,7,46
No,yes,poorer,no education,tanganyika,Polygamous,catholic,40-44,urban,living with partner,5+,0.148929,7,46
No,yes,poorest,secondary,tanganyika,Monogamous,catholic,30-34,urban,married,1-2,0.148929,7,46
No,yes,poorer,no education,tanganyika,Monogamous,non denominational/charismatic/apostolic,30-34,urban,living with partner,3-4,0.148929,7,46
No,yes,poorer,no education,tanganyika,Monogamous,catholic,45-49,urban,living with partner,5+,0.148929,7,46
No,no,poorer,secondary,tanganyika,Monogamous,catholic,15-19,urban,living with partner,1-2,0.148929,7,46
No,no,middle,secondary,tanganyika,Monogamous,protestant,45-49,urban,married,5+,0.148929,7,46
No,no,middle,no education,tanganyika,Monogamous,catholic,25-29,urban,married,3-4,0.148929,7,46
No,yes,poorer,no education,tanganyika,Monogamous,protestant,45-49,urban,living with partner,5+,0.148929,7,46
No,no,poorest,no education,tanganyika,Monogamous,protestant,35-39,urban,married,5+,0.148929,7,46
No,yes,middle,no education,tanganyika,Monogamous,protestant,40-44,urban,married,5+,0.148929,7,46
No,yes,poorest,primary,tanganyika,Monogamous,protestant,20-24,urban,married,1-2,0.148929,7,46
No,yes,poorer,no education,tanganyika,Monogamous,protestant,40-44,urban,married,3-4,0.148929,7,46
No,no,poorer,primary,tanganyika,Polygamous,kimbanguiste,30-34,urban,living with partner,3-4,0.148929,7,46
No,no,poorest,no education,tanganyika,Monogamous,protestant,30-34,urban,living with partner,3-4,0.148929,7,46
No,yes,poorer,secondary,tanganyika,Monogamous,protestant,35-39,urban,living with partner,5+,0.148929,7,46
No,yes,middle,primary,tshopo,Monogamous,protestant,35-39,rural,married,5+,0.02581,8,10
Yes,yes,poorest,secondary,tshopo,Polygamous,protestant,20-24,rural,living with partner,3-4,0.02581,8,10
No,yes,poorest,primary,tshopo,Monogamous,non denominational/charismatic/apostolic,25-29,rural,living with partner,5+,0.02581,8,10
No,no,poorer,primary,tshopo,Monogamous,protestant,30-34,rural,living with partner,5+,0.02581,8,10
No,no,middle,secondary,tshopo,Monogamous,non denominational/charismatic/apostolic,20-24,rural,married,3-4,0.02581,8,10
Yes,yes,poorer,no education,tshopo,Monogamous,protestant,45-49,rural,living with partner,5+,0.02581,8,10
No,yes,middle,primary,tshopo,Monogamous,protestant,25-29,rural,living with partner,5+,0.02581,8,10
No,yes,poorer,primary,tshopo,Monogamous,protestant,20-24,rural,married,1-2,0.02581,8,10
Yes,yes,poorest,primary,tshopo,Polygamous,protestant,30-34,rural,living with partner,3-4,0.02581,8,10
No,yes,middle,primary,tshopo,Polygamous,non denominational/charismatic/apostolic,25-29,rural,living with partner,3-4,0.02581,8,10
No,yes,middle,secondary,tshopo,Polygamous,protestant,20-24,rural,living with partner,1-2,0.02581,8,10
No,yes,poorest,primary,tshopo,Monogamous,protestant,35-39,rural,living with partner,5+,0.02581,8,10
No,yes,poorest,primary,tshopo,Polygamous,protestant,20-24,rural,married,3-4,0.02581,8,10
No,yes,poorer,no education,tshopo,Monogamous,protestant,45-49,rural,living with partner,5+,0.02581,8,10
Yes,yes,poorest,primary,tshopo,Polygamous,protestant,35-39,rural,living with partner,3-4,0.02581,8,10
No,yes,poorer,primary,tshopo,Monogamous,protestant,45-49,rural,living with partner,5+,0.02581,8,10
No,yes,poorest,primary,tshopo,Polygamous,protestant,30-34,rural,living with partner,3-4,0.02581,8,10
No,yes,middle,primary,tshopo,Monogamous,protestant,20-24,rural,living with partner,3-4,0.02581,8,10
No,yes,poorer,no education,tshopo,Polygamous,protestant,15-19,rural,living with partner,1-2,0.02581,8,10
No,yes,poorest,no education,tshopo,Monogamous,protestant,30-34,rural,married,3-4,0.02581,8,10
Yes,yes,poorer,primary,tshopo,Monogamous,protestant,45-49,rural,living with partner,3-4,0.02581,8,10
No,no,poorest,no education,tshopo,Monogamous,protestant,45-49,rural,married,5+,0.02581,8,10
Yes,yes,poorest,primary,tshopo,Monogamous,protestant,25-29,rural,married,5+,0.02581,8,10
No,yes,middle,primary,tshopo,Polygamous,protestant,20-24,rural,living with partner,1-2,0.02581,8,10
No,no,poorer,primary,tshopo,Polygamous,protestant,20-24,rural,married,1-2,0.02581,8,10
No,no,poorer,primary,tshopo,Polygamous,protestant,15-19,rural,married,0,0.02581,8,10
No,no,middle,primary,tshopo,Monogamous,non denominational/charismatic/apostolic,20-24,rural,married,3-4,0.02581,8,10
No,yes,poorest,secondary,maniema,Monogamous,non denominational/charismatic/apostolic,25-29,urban,married,5+,0.584252,9,42
Yes,yes,poorest,no education,maniema,Monogamous,protestant,35-39,urban,married,5+,0.584252,9,42
No,yes,poorer,secondary,maniema,Monogamous,non denominational/charismatic/apostolic,20-24,urban,married,1-2,0.584252,9,42
No,no,richer,secondary,maniema,Monogamous,non denominational/charismatic/apostolic,20-24,urban,living with partner,3-4,0.584252,9,42
No,no,richer,primary,maniema,Polygamous,protestant,30-34,urban,married,3-4,0.584252,9,42
No,yes,poorest,no education,maniema,Monogamous,non denominational/charismatic/apostolic,40-44,urban,married,5+,0.584252,9,42
No,yes,richer,secondary,maniema,Polygamous,catholic,25-29,urban,living with partner,1-2,0.584252,9,42
Yes,yes,poorer,no education,maniema,Polygamous,non denominational/charismatic/apostolic,40-44,urban,living with partner,1-2,0.584252,9,42
No,no,poorer,secondary,maniema,Monogamous,non denominational/charismatic/apostolic,20-24,urban,living with partner,1-2,0.584252,9,42
No,yes,poorest,secondary,maniema,Monogamous,non denominational/charismatic/apostolic,15-19,urban,living with partner,0,0.584252,9,42
No,yes,middle,secondary,maniema,Monogamous,protestant,30-34,urban,living with partner,3-4,0.584252,9,42
No,no,poorest,no education,maniema,Monogamous,catholic,30-34,urban,married,3-4,0.584252,9,42
No,yes,middle,secondary,maniema,Polygamous,animist/traditional religion,25-29,urban,living with partner,1-2,0.584252,9,42
No,no,poorest,secondary,maniema,Monogamous,protestant,35-39,urban,married,5+,0.584252,9,42
No,no,middle,primary,maniema,Monogamous,protestant,35-39,urban,married,5+,0.584252,9,42
No,no,middle,secondary,maniema,Monogamous,non denominational/charismatic/apostolic,20-24,urban,married,0,0.584252,9,42
No,no,middle,secondary,maniema,Monogamous,non denominational/charismatic/apostolic,20-24,urban,married,1-2,0.584252,9,42
Yes,no,poorest,no education,ituri,Monogamous,muslim,35-39,rural,living with partner,5+,0.301366,10,13
Yes,yes,poorest,primary,ituri,Monogamous,catholic,40-44,rural,married,5+,0.301366,10,13
No,no,middle,secondary,ituri,Monogamous,catholic,30-34,rural,living with partner,3-4,0.301366,10,13
No,yes,poorest,primary,ituri,Monogamous,catholic,25-29,rural,married,3-4,0.301366,10,13
No,no,richer,primary,ituri,Monogamous,catholic,25-29,rural,living with partner,5+,0.301366,10,13
Yes,yes,poorest,primary,ituri,Monogamous,catholic,20-24,rural,married,1-2,0.301366,10,13
Yes,yes,poorer,no education,ituri,Monogamous,non denominational/charismatic/apostolic,40-44,rural,married,3-4,0.301366,10,13
Yes,yes,poorer,no education,ituri,Polygamous,muslim,35-39,rural,married,5+,0.301366,10,13
Yes,yes,poorest,no education,ituri,Monogamous,catholic,25-29,rural,living with partner,1-2,0.301366,10,13
No,no,poorer,primary,ituri,Monogamous,catholic,15-19,rural,married,0,0.301366,10,13
Yes,yes,poorer,secondary,ituri,Monogamous,muslim,30-34,rural,married,5+,0.301366,10,13
Yes,yes,richer,primary,ituri,Polygamous,non denominational/charismatic/apostolic,40-44,rural,married,5+,0.301366,10,13
No,yes,poorer,primary,ituri,Monogamous,catholic,15-19,rural,living with partner,0,0.301366,10,13
Yes,yes,middle,primary,kwilu,Monogamous,protestant,30-34,urban,living with partner,1-2,1.139208,11,29
Yes,yes,middle,secondary,kwilu,Monogamous,non denominational/charismatic/apostolic,30-34,urban,living with partner,3-4,1.139208,11,29
Yes,yes,poorer,secondary,kwilu,Monogamous,non denominational/charismatic/apostolic,25-29,urban,living with partner,3-4,1.139208,11,29
No,yes,middle,primary,kwilu,Monogamous,non denominational/charismatic/apostolic,35-39,urban,living with partner,5+,1.139208,11,29
Yes,yes,poorer,secondary,kwilu,Monogamous,non denominational/charismatic/apostolic,45-49,urban,living with partner,3-4,1.139208,11,29
No,yes,middle,secondary,kwilu,Monogamous,non denominational/charismatic/apostolic,20-24,urban,living with partner,1-2,1.139208,11,29
Yes,no,poorer,primary,kwilu,Monogamous,catholic,30-34,urban,living with partner,3-4,1.139208,11,29
Yes,yes,richer,secondary,kwilu,Monogamous,protestant,40-44,urban,living with partner,0,1.139208,11,29
Yes,yes,poorer,secondary,kwilu,Monogamous,non denominational/charismatic/apostolic,35-39,urban,living with partner,5+,1.139208,11,29
No,yes,richer,secondary,kwilu,Monogamous,non denominational/charismatic/apostolic,45-49,urban,married,5+,1.139208,11,29
Yes,yes,middle,secondary,kwilu,Monogamous,protestant,25-29,urban,living with partner,1-2,1.139208,11,29
No,yes,middle,primary,kwilu,Monogamous,kimbanguiste,35-39,urban,living with partner,3-4,1.139208,11,29
Yes,yes,middle,secondary,kwilu,Monogamous,catholic,40-44,urban,living with partner,0,1.139208,11,29
No,yes,poorer,secondary,kwilu,Monogamous,protestant,35-39,urban,living with partner,5+,1.139208,11,29
No,no,middle,secondary,kwilu,Monogamous,catholic,35-39,urban,married,1-2,1.139208,11,29
Yes,yes,poorer,no education,haut lomami,Polygamous,protestant,45-49,rural,married,5+,0.827228,12,18
Yes,yes,poorer,secondary,haut lomami,Monogamous,protestant,20-24,rural,living with partner,1-2,0.827228,12,18
Yes,yes,richer,primary,haut lomami,Monogamous,protestant,40-44,rural,married,3-4,0.827228,12,18
Yes,yes,richer,primary,haut lomami,Monogamous,protestant,20-24,rural,living with partner,1-2,0.827228,12,18
Yes,no,poorer,no education,haut lomami,Monogamous,protestant,35-39,rural,living with partner,5+,0.827228,12,18
Yes,yes,middle,primary,haut lomami,Monogamous,protestant,35-39,rural,living with partner,5+,0.827228,12,18
No,no,richer,secondary,haut lomami,Polygamous,protestant,25-29,rural,living with partner,3-4,0.827228,12,18
Yes,yes,middle,primary,haut lomami,Monogamous,non denominational/charismatic/apostolic,40-44,rural,married,5+,0.827228,12,18
Yes,yes,richer,no education,haut lomami,Monogamous,protestant,35-39,rural,married,5+,0.827228,12,18
Yes,yes,richer,secondary,haut lomami,Monogamous,protestant,15-19,rural,living with partner,1-2,0.827228,12,18
Yes,yes,richer,no education,haut lomami,Monogamous,protestant,15-19,rural,living with partner,1-2,0.827228,12,18
Yes,yes,richer,primary,haut lomami,Monogamous,protestant,15-19,rural,living with partner,0,0.827228,12,18
Yes,yes,richer,secondary,haut lomami,Monogamous,catholic,20-24,rural,living with partner,1-2,0.827228,12,18
Yes,yes,middle,secondary,haut lomami,Monogamous,protestant,35-39,rural,married,5+,0.827228,12,18
Yes,yes,richer,primary,haut lomami,Monogamous,non denominational/charismatic/apostolic,15-19,rural,married,0,0.827228,12,18
Yes,yes,richer,primary,haut lomami,Monogamous,non denominational/charismatic/apostolic,20-24,rural,living with partner,0,0.827228,12,18
Yes,yes,middle,primary,haut lomami,Monogamous,protestant,35-39,rural,married,5+,0.827228,12,18
Yes,yes,richer,secondary,haut lomami,Monogamous,protestant,45-49,rural,married,5+,0.827228,12,18
Yes,no,middle,no education,haut lomami,Monogamous,catholic,30-34,rural,living with partner,3-4,0.827228,12,18
Yes,yes,richer,secondary,haut lomami,Monogamous,protestant,45-49,rural,living with partner,5+,0.827228,12,18
Yes,yes,richer,no education,haut lomami,Polygamous,non denominational/charismatic/apostolic,40-44,rural,living with partner,5+,0.827228,12,18
Yes,yes,middle,primary,haut lomami,Monogamous,protestant,20-24,rural,living with partner,1-2,0.827228,12,18
Yes,yes,poorer,primary,haut lomami,Monogamous,animist/traditional religion,25-29,rural,living with partner,1-2,0.827228,12,18
Yes,yes,poorer,primary,haut lomami,Monogamous,animist/traditional religion,20-24,rural,living with partner,1-2,0.827228,12,18
Yes,yes,richer,primary,haut lomami,Monogamous,protestant,35-39,rural,living with partner,5+,0.827228,12,18
Yes,yes,poorer,primary,haut lomami,Monogamous,catholic,30-34,rural,living with partner,3-4,0.827228,12,18
Yes,yes,middle,no education,haut lomami,Monogamous,protestant,35-39,rural,married,5+,0.827228,12,18
